BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by City Connections Realty,Condo for sale,870000,1,1,620,347 W 57th St Apt 6B,"New York, NY 10019","347 W 57th St Apt 6BNew York, NY 10019",New York,New York County,New York,Manhattan,347,"347 W 57th St #6b, New York, NY 10019, USA",40.7681878,-73.9845086
Brokered by Nyc Realty Brokers Llc,Co-op for sale,355000,2,1,1000,2930 W 5th St Apt 15H,"Brooklyn, NY 11224","2930 W 5th St Apt 15HBrooklyn, NY 11224",New York,Kings County,Brooklyn,Coney Island,2930,"2930 W 5th St #15h, Brooklyn, NY 11224, USA",40.5782062,-73.973315
Brokered by Corcoran West Side,Condo for sale,10900000,5,6,3633,39 W 23rd St # N,"New York, NY 10010","39 W 23rd St # NNew York, NY 10010",United States,New York,New York County,New York,West 23rd Street,"39 W 23rd St, New York, NY 10010, USA",40.7423282,-73.9911409
Brokered by Brown Harris Stevens - 445 Park Avenue,Pending,375000,1,1,2184.207862,162 E 2nd St Apt B,"Manhattan, NY 10009","162 E 2nd St Apt BManhattan, NY 10009",New York,New York County,New York,Manhattan,162,"162 E 2nd St b, New York, NY 10009, USA",40.7228235,-73.98509
Brokered by Corcoran Brooklyn Heights,House for sale,6700000,3,2.3738608579684373,2184.207862,450 Front St,"Staten Island, NY 10304","450 Front StStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Front Street,"450 Front St, Staten Island, NY 10304, USA",40.626225,-74.0745645
Brokered by Ilite Realty Inc,Co-op for sale,268800,1,1,725,303 Avenue P Apt B1,"Brooklyn, NY 11204","303 Avenue P Apt B1Brooklyn, NY 11204",New York,Kings County,Brooklyn,Bensonhurst,303,"303 Avenue P b1, Brooklyn, NY 11204, USA",40.6086157,-73.9765291
Brokered by Ashford Homes LLC,Condo for sale,640000,1,1,1022,1238 63rd St Unit 204,"Brooklyn, NY 11219","1238 63rd St Unit 204Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,1238,"1238 63rd St #204, Brooklyn, NY 11219, USA",40.6275896,-74.0016198
Brokered by Corcoran West Side,Condo for sale,10900000,5,6,3633,39 W 23rd St # N,"New York, NY 10010","39 W 23rd St # NNew York, NY 10010",United States,New York,New York County,New York,West 23rd Street,"39 W 23rd St, New York, NY 10010, USA",40.7423282,-73.9911409
Brokered by Brown Harris Stevens - 445 Park Avenue,Pending,375000,1,1,2184.207862,162 E 2nd St Apt B,"Manhattan, NY 10009","162 E 2nd St Apt BManhattan, NY 10009",New York,New York County,New York,Manhattan,162,"162 E 2nd St b, New York, NY 10009, USA",40.7228235,-73.98509
Brokered by Corcoran Brooklyn Heights,House for sale,6700000,3,2.3738608579684373,2184.207862,450 Front St,"Staten Island, NY 10304","450 Front StStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Front Street,"450 Front St, Staten Island, NY 10304, USA",40.626225,-74.0745645
Brokered by Ashford Homes LLC,Condo for sale,640000,1,1,1022,1238 63rd St Unit 204,"Brooklyn, NY 11219","1238 63rd St Unit 204Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,1238,"1238 63rd St #204, Brooklyn, NY 11219, USA",40.6275896,-74.0016198
Brokered by COMPASS,Co-op for sale,2800000,2,2,2184.207862,1088 Park Ave Unit 15C,"Manhattan, NY 10128","1088 Park Ave Unit 15CManhattan, NY 10128",New York,New York County,New York,Manhattan,1088,"1088 Park Ave #15c, New York, NY 10128, USA",40.7820603,-73.9562107
Brokered by Prime Properties Long Island,Co-op for sale,699000,2,2,1400,110-20 71st Rd Unit 905/6,"Forest Hills, NY 11375","110-20 71st Rd Unit 905/6Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,11020,"11020 71st Rd Apt 905, Forest Hills, NY 11375, USA",40.7216499,-73.84119
Brokered by Douglas Elliman  -111 Fifth Ave,Pending,950000,1,1,2184.207862,82 Charles St Apt 5R,"New York, NY 10014","82 Charles St Apt 5RNew York, NY 10014",New York,New York County,New York,Manhattan,82,"82 Charles St #5r, New York, NY 10014, USA",40.7346124,-74.0039065
Brokered by E Realty International Corp,Multi-family home for sale,1208000,11,6,5160,10-45 115th St,"College Point, NY 11356","10-45 115th StCollege Point, NY 11356",United States,New York,Queens County,Queens,115th Street,"10-45 115th St, Flushing, NY 11356, USA",40.787452,-73.8521292
Brokered by CENTURY 21 Milestone Realty,House for sale,749000,5,4,2184.207862,105-47 88 St,"Ozone Park, NY 11417","105-47 88 StOzone Park, NY 11417",United States,New York,Queens County,Queens,88th Street,"105-47 88th St, Jamaica, NY 11417, USA",40.6785851,-73.8497745
Brokered by Great Success Realty Inc,Multi-family home for sale,1800000,5,2,2184.207862,455 Irving Ave,"Brooklyn, NY 11237","455 Irving AveBrooklyn, NY 11237",United States,New York,Kings County,Brooklyn,Irving Avenue,"455 Irving Ave, Brooklyn, NY 11237, USA",40.6958927,-73.9084857
Brokered by COMPASS,Condo for sale,1025000,1,1,787,105 Norfolk St Apt 3A,"Manhattan, NY 10002","105 Norfolk St Apt 3AManhattan, NY 10002",New York,New York County,New York,Manhattan,105,"105 Norfolk St #3a, New York, NY 10002, USA",40.7188873,-73.9873574
Brokered by Douglas Elliman - 936 Broadway,Condo for sale,2449000,3,2,1744,90 E End Ave Apt 6B,"New York, NY 10028","90 E End Ave Apt 6BNew York, NY 10028",New York,New York County,New York,Manhattan,90,"90 East End Ave #6b, New York, NY 10028, USA",40.7735704,-73.9461541
Brokered by Keller Williams Realty Greater Nassau,House for sale,659000,3,2,1460,59 Saint Johns Ave,"Staten Island, NY 10305","59 Saint Johns AveStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,Saint Johns Avenue,"59 St Johns Ave, Staten Island, NY 10305, USA",40.6114323,-74.0667876
Brokered by EXIT ALL SEASONS REALTY,Multi-family home for sale,1499000,7,4,3570,57-19 64th St,"Maspeth, NY 11378","57-19 64th StMaspeth, NY 11378",United States,New York,Queens County,Queens,64th Street,"57-19 64th St, Flushing, NY 11378, USA",40.7221698,-73.9011088
Brokered by COMPASS,Condo for sale,700000,3,1,474,246 Spring St Unit 4111,"Manhattan, NY 10013","246 Spring St Unit 4111Manhattan, NY 10013",New York,New York County,New York,Manhattan,246,"246 Spring St #4111, New York, NY 10013, USA",40.7253082,-74.005407
Brokered by All Area Brokerage Inc,Co-op for sale,235000,3,1,2184.207862,65-15 38th Ave Unit 2N,"Woodside, NY 11377","65-15 38th Ave Unit 2NWoodside, NY 11377",New York,Queens County,Queens,Woodside,6515,"6515 38th Ave Apt 2f, Woodside, NY 11377, USA",40.7469399,-73.8986099
Brokered by COMPASS,Co-op for sale,700000,2,1,900,315 E 70th St Apt 9D,"Manhattan, NY 10021","315 E 70th St Apt 9DManhattan, NY 10021",New York,New York County,New York,Manhattan,315,"315 E 70th St #9d, New York, NY 10021, USA",40.7673126,-73.9584378
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,4895000,4,4,3622,66 Reade St Unit Th,"New York, NY 10007","66 Reade St Unit ThNew York, NY 10007",United States,New York,New York County,New York,Reade Street,"66 Reade St, New York, NY 10007, USA",40.7151591,-74.006685
Brokered by Corcoran East Side,Condo for sale,2350000,4,2,1847,375 W 123rd St # 7B,"New York, NY 10027","375 W 123rd St # 7BNew York, NY 10027",New York,New York County,New York,Manhattan,375,"375 W 123rd St #7b, New York, NY 10027, USA",40.8101077,-73.9546373
Brokered by Winzone Realty Inc,Condo for sale,456000,1,1,2184.207862,42-39 Judge St Unit 2B,"Elmhurst, NY 11373","42-39 Judge St Unit 2BElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,42-39,"42-39 Judge St #2b, Elmhurst, NY 11373, USA",40.7442352,-73.8797855
Brokered by RE MAX Elite,Multi-family home for sale,1190000,5,4,3720,334 Bethel Ave,"Staten Island, NY 10307","334 Bethel AveStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Bethel Avenue,"334 Bethel Ave, Staten Island, NY 10307, USA",40.5153019,-74.2352069
"Brokered by Nest Seekers International, Midtown",Condo for sale,5350000,3,4,2491,522 W 29th St Apt 3A,"New York, NY 10001","522 W 29th St Apt 3ANew York, NY 10001",New York,New York County,New York,Manhattan,522,"522 W 29th St #3a, New York, NY 10001, USA",40.7518261,-74.002774
Brokered by Graceful Realty LLC,Co-op for sale,335000,2,1,2184.207862,60-29 Marathon Pkwy Unit Lower,"Little Neck, NY 11362","60-29 Marathon Pkwy Unit LowerLittle Neck, NY 11362",United States,New York,Queens County,Queens,Marathon Parkway,"60-29 Marathon Pkwy, Little Neck, NY 11362, USA",40.7576854,-73.7298343
Brokered by RE MAX Real Estate Professionals,Condo for sale,628000,3,2,1097,238 56th St Apt 1F,"Brooklyn, NY 11220","238 56th St Apt 1FBrooklyn, NY 11220",New York,Kings County,Brooklyn,Sunset Park,238,"238 56th St #1f, Brooklyn, NY 11220, USA",40.6449894,-74.0196153
Brokered by Keller Williams Ny Realty,House for sale,710000,2,2,2250,4067 Murdock Ave,"Bronx, NY 10466","4067 Murdock AveBronx, NY 10466",United States,New York,Bronx County,The Bronx,Murdock Avenue,"4067 Murdock Ave, Bronx, NY 10466, USA",40.8926424,-73.8409541
Brokered by R A L ENTERPRISES,House for sale,790000,4,2,1744,966 E 42nd St,"Brooklyn, NY 11210","966 E 42nd StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 42nd Street,"966 E 42nd St, Brooklyn, NY 11210, USA",40.631398,-73.9361773
Brokered by Corcoran Park Slope,House for sale,1300000,3,2,2184.207862,3883 Bedford Ave,"Brooklyn, NY 11229","3883 Bedford AveBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,Bedford Avenue,"3883 Bedford Ave, Brooklyn, NY 11229, USA",40.6074439,-73.9477154
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,800000,2,1,900,425 E 79th St Apt 7C,"New York, NY 10075","425 E 79th St Apt 7CNew York, NY 10075",New York,New York County,New York,Manhattan,425,"425 E 79th St #7c, New York, NY 10075, USA",40.7720929,-73.9514513
Brokered by CENTURY 21 Achievers,House for sale,699000,3,2,522,1372 E 57th St,"Brooklyn, NY 11234","1372 E 57th StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 57th Street,"1372 E 57th St, Brooklyn, NY 11234, USA",40.6200647,-73.9203764
Brokered by COMPASS,Condo for sale,1750000,1,1,2184.207862,502 Park Ave Apt 12K,"Manhattan, NY 10022","502 Park Ave Apt 12KManhattan, NY 10022",New York,New York County,New York,Manhattan,502,"502 Park Ave Apt 12h, New York, NY 10022, USA",40.7632867,-73.9700993
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,416000,3,1,950,38-15 149th St Unit 2J,"Flushing, NY 11354","38-15 149th St Unit 2JFlushing, NY 11354",New York,Queens County,Queens,Flushing,38-15,"38-15 149th St #2j, Flushing, NY 11354, USA",40.763716,-73.816271
"Brokered by Neuhaus Realty, Inc.",Contingent,225000,1,1,650,17 Seth Ct Unit B,"Staten Island, NY 10301","17 Seth Ct Unit BStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,17,"17 Seth Ct # B, Staten Island, NY 10301, USA",40.6185653,-74.0948312
Brokered by COMPASS,Co-op for sale,499000,1,1,800,150 Hawthorne St Apt 5D,"Brooklyn, NY 11225","150 Hawthorne St Apt 5DBrooklyn, NY 11225",New York,Kings County,Brooklyn,Prospect Lefferts Gardens,150,"150 Hawthorne St #5d, Brooklyn, NY 11225, USA",40.6573594,-73.9554071
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,425000,3,1,2184.207862,513 E 5th St Apt 2A,"New York, NY 10009","513 E 5th St Apt 2ANew York, NY 10009",New York,New York County,New York,Manhattan,513,"513 E 5th St #2a, New York, NY 10009, USA",40.7247015,-73.9835768
Brokered by East Coast REALTORS Inc,Co-op for sale,220000,1,1,2184.207862,61-88 Dry Harbor Rd Unit Lh,"Middle Village, NY 11379","61-88 Dry Harbor Rd Unit LhMiddle Village, NY 11379",United States,New York,Queens County,Queens,Dry Harbor Road,"61-88 Dry Harbor Rd, Flushing, NY 11379, USA",40.7257927,-73.8727767
Brokered by Re/Max In The City,Co-op for sale,140000,3,1,507,4295 Webster Ave Apt 6K,"Bronx, NY 10470","4295 Webster Ave Apt 6KBronx, NY 10470",New York,Bronx County,The Bronx,East Bronx,4295,"4295 Webster Ave #6k, Bronx, NY 10470, USA",40.8992144,-73.8624103
Brokered by R A L ENTERPRISES,House for sale,790000,4,2,1744,966 E 42nd St,"Brooklyn, NY 11210","966 E 42nd StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 42nd Street,"966 E 42nd St, Brooklyn, NY 11210, USA",40.631398,-73.9361773
Brokered by COMPASS,Condo for sale,2400000,2,2,1375,12 E 88th St Apt 9C,"Manhattan, NY 10128","12 E 88th St Apt 9CManhattan, NY 10128",New York,New York County,New York,Manhattan,12,"12 E 88th St Apartment 9d, New York, NY 10128, USA",40.782249,-73.958665
Brokered by COMPASS,Co-op for sale,5995000,3,2,4200,17 White St Apt 3B,"Manhattan, NY 10013","17 White St Apt 3BManhattan, NY 10013",New York,New York County,New York,Manhattan,17,"17 White St #3b, New York, NY 10013, USA",40.7190306,-74.0054491
Brokered by Keystone Realty USA Corp,Multi-family home for sale,988888,5,3,2184.207862,195 Mother Gaston Blvd,"Brooklyn, NY 11233","195 Mother Gaston BlvdBrooklyn, NY 11233",United States,New York,Kings County,Brooklyn,Mother Gaston Boulevard,"195 Mother Gaston Blvd, Brooklyn, NY 11233, USA",40.6748665,-73.908063
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,369000,3,1,2184.207862,125 W 96th St Apt 1C,"New York, NY 10025","125 W 96th St Apt 1CNew York, NY 10025",New York,New York County,New York,Manhattan,125,"125 W 96th St #1c, New York, NY 10025, USA",40.7935524,-73.9687728
Brokered by KELLER WILLIAMS REALTY EMPIRE,Multi-family home for sale,2850000,15,7,6000,2135 E 13th St,"Brooklyn, NY 11229","2135 E 13th StBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,East 13th Street,"2135 E 13th St, Brooklyn, NY 11229, USA",40.5977433,-73.9578638
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,5799000,3,4,2497,1 John St Apt 4B,"Brooklyn, NY 11201","1 John St Apt 4BBrooklyn, NY 11201",Kings County,Brooklyn,Dumbo,John Street,John Street Park,"John Street Park, 1 John St #4b, Brooklyn, NY 11201, USA",40.7046228,-73.9878238
"Brokered by Dom Realty, Inc",Co-op for sale,229000,3,1,500,2727 Ocean Pkwy Apt D6,"Brooklyn, NY 11235","2727 Ocean Pkwy Apt D6Brooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,2727,"2727 Ocean Pkwy d6, Brooklyn, NY 11235, USA",40.5822648,-73.9666622
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,44500000,5,6,2184.207862,2 E 67th St Fl 9,"New York, NY 10065","2 E 67th St Fl 9New York, NY 10065",New York,New York County,New York,Manhattan,2,"2 E 67th St Fl 9, New York, NY 10065, USA",40.768973,-73.969136
Brokered by Apple Realty Group Corp,Co-op for sale,235000,1,1,2184.207862,68-05 138th St Unit 1A,"Flushing, NY 11367","68-05 138th St Unit 1AFlushing, NY 11367",New York,Queens County,Queens,Flushing,68-5,"68-5 138th St #1a, Flushing, NY 11367, USA",40.7315119,-73.8286528
Brokered by COMPASS,Condo for sale,3500000,3,2,1896,189 Prospect Pl Apt 2,"Brooklyn, NY 11238","189 Prospect Pl Apt 2Brooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,189,"189 Prospect Pl #2, Brooklyn, NY 11238, USA",40.6781953,-73.9702616
Brokered by Momentum Real Estate Llc,House for sale,1288000,3,2,1538,2421 82nd St,"Brooklyn, NY 11214","2421 82nd StBrooklyn, NY 11214",11214,United States,New York,Kings County,82nd Street,"2421 82nd St, Brooklyn, NY 11214, USA",40.6013215,-73.986412
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,875000,1,1,2184.207862,225 W 25th St Apt 3F,"New York, NY 10001","225 W 25th St Apt 3FNew York, NY 10001",New York,New York County,New York,Manhattan,225,"225 W 25th St #3f, New York, NY 10001, USA",40.7459915,-73.9956777
"Brokered by Robert Defalco Realty, Inc.",Multi-family home for sale,1099000,6,5,3816,730 Bay St,"Staten Island, NY 10304","730 Bay StStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Bay Street,"730 Bay St, Staten Island, NY 10304, USA",40.6241719,-74.0746007
Brokered by Corcoran Park Slope,Pending,1795000,2,2,2184.207862,420 12th St Apt H1L,"Brooklyn, NY 11215","420 12th St Apt H1LBrooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,420,"420 12th St #1l, Brooklyn, NY 11215, USA",40.6646996,-73.9831407
NoBroker,Townhouse for sale,579000,3,2,2184.207862,103-12 114th St,"Richmond Hill South, NY 11419","103-12 114th StRichmond Hill South, NY 11419",United States,New York,Queens County,Queens,114th Street,"103-12 114th St, South Richmond Hill, NY 11419, USA",40.6863457,-73.8292298
Brokered by Tscherne Realty Inc,House for sale,868000,3,2,1690,64-13 79th St,"Middle Village, NY 11379","64-13 79th StMiddle Village, NY 11379",United States,New York,Queens County,Queens,79th Street,"64-13 79th St, Middle Village, NY 11379, USA",40.7187347,-73.875063
Brokered by Real Broker NY LLC,House for sale,699900,5,1,1827,87-37 90th St,"Woodhaven, NY 11421","87-37 90th StWoodhaven, NY 11421",United States,New York,Queens County,Queens,90th Street,"87-37 90th St, Jamaica, NY 11421, USA",40.6917678,-73.8540537
Brokered by Coldwell Banker American Homes,House for sale,559900,3,2,2184.207862,116-42 204th St,"Saint Albans, NY 11412","116-42 204th StSaint Albans, NY 11412",United States,New York,Queens County,Queens,204th Street,"116-42 204th St, Jamaica, NY 11412, USA",40.6957516,-73.7490297
Brokered by Keller Williams NYC,Co-op for sale,650000,3,1,2184.207862,100 Bank St Apt 4F,"New York, NY 10014","100 Bank St Apt 4FNew York, NY 10014",New York,New York County,New York,Manhattan,100,"100 Bank St #4f, New York, NY 10014, USA",40.7362367,-74.0070136
Brokered by CENTURY 21 METRO STAR,Condo for sale,209000,1,1,2184.207862,1470 East Ave Apt 4D,"Bronx, NY 10462","1470 East Ave Apt 4DBronx, NY 10462",New York,Bronx County,The Bronx,Parkchester,1470,"1470 East Ave #4d, Bronx, NY 10462, USA",40.836532,-73.859174
Brokered by COMPASS,Co-op for sale,1695000,3,2,2184.207862,80 E End Ave Apt 8E,"Manhattan, NY 10028","80 E End Ave Apt 8EManhattan, NY 10028",New York County,New York,Manhattan,East End Avenue,80 East End Owners,"80 East End Owners, 80 East End Ave #8e, New York, NY 10028, USA",40.7731502,-73.9462859
Brokered by Clarke Realty,House for sale,570000,3,2,1728,2953 Pearsall Ave,"Bronx, NY 10469","2953 Pearsall AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,Pearsall Avenue,"2953 Pearsall Ave, Bronx, NY 10469, USA",40.869166,-73.8520258
Brokered by Keller Williams Realty Greater Nassau,Co-op for sale,419800,2,1,1000,72-81 113th St Unit 5M,"Forest Hills, NY 11375","72-81 113th St Unit 5MForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,72-81,"72-81 113th St #5b, Forest Hills, NY 11375, USA",40.7199582,-73.8357232
Brokered by The Agency,Contingent,1875000,3,2,2184.207862,140 E 81st St Apt 12A,"New York, NY 10028","140 E 81st St Apt 12ANew York, NY 10028",New York,New York County,New York,Manhattan,140,"140 E 81st St #12a, New York, NY 10028, USA",40.7760492,-73.9577296
"Brokered by CORE Group Marketing, LLC",Condo for sale,5900000,3,3,2706,241 Fifth Ave Ph 15,"New York, NY 10016","241 Fifth Ave Ph 15New York, NY 10016",New York,New York County,New York,Manhattan,241,"241 5th Ave Ph 15, New York, NY 10016, USA",40.744213,-73.987241
Brokered by Coldwell Banker Reliable Real Estate,Multi-family home for sale,4000000,32,12,7200,154 E 105th St,"New York, NY 10029","154 E 105th StNew York, NY 10029",United States,New York,New York County,New York,East 105th Street,"154 E 105th St, New York, NY 10029, USA",40.791206,-73.946512
Brokered by Oxford Property Group,Condo for sale,1450000,2,2,1175,123 Washington St Apt 33B,"New York, NY 10006","123 Washington St Apt 33BNew York, NY 10006",New York,New York County,New York,Manhattan,123,"123 Washington St #33b, New York, NY 10006, USA",40.7092191,-74.0137534
Brokered by Housebiz Realty Inc.,Multi-family home for sale,975000,7,4,1920,1392 Commonwealth Ave,"Bronx, NY 10472","1392 Commonwealth AveBronx, NY 10472",United States,New York,Bronx County,The Bronx,Commonwealth Avenue,"1392 Commonwealth Ave, Bronx, NY 10472, USA",40.8345273,-73.8686683
Brokered by Halo Realty Properties LLC,Co-op for sale,210000,3,1,550,9710 62nd Dr Apt 2N,"Rego Park, NY 11374","9710 62nd Dr Apt 2NRego Park, NY 11374",New York,Queens County,Queens,Rego Park,97-10,"97-10 62nd Dr #2b, Rego Park, NY 11374, USA",40.7323502,-73.8611654
Brokered by COMPASS,Co-op for sale,310000,1,1,2184.207862,5700 Arlington Ave Apt 2S,"Bronx, NY 10471","5700 Arlington Ave Apt 2SBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5700,"5700 Arlington Ave #2s, Bronx, NY 10471, USA",40.9069228,-73.9062512
Brokered by OFFICIAL,Townhouse for sale,8575000,6,6,5500,161 E 63rd St,"New York, NY 10065","161 E 63rd StNew York, NY 10065",United States,New York,New York County,New York,East 63rd Street,"161 E 63rd St, New York, NY 10065, USA",40.7645068,-73.9653462
Brokered by Corcoran West Side,Multi-family home for sale,1895000,5,4,2184.207862,595 Van Buren St,"Brooklyn, NY 11221","595 Van Buren StBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Van Buren Street,"595 Van Buren St, Brooklyn, NY 11221, USA",40.6925254,-73.9260278
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,10500000,5,6,2184.207862,955 5th Ave # 4 & 5A,"New York, NY 10075","955 5th Ave # 4 & 5ANew York, NY 10075",United States,New York,New York County,New York,5th Avenue,"955 5th Ave, New York, NY 10075, USA",40.7753473,-73.9646138
"Brokered by CORE Group Marketing, LLC",Condo for sale,2990000,3,2,1721,77 Greenwich St Apt 16A,"New York, NY 10006","77 Greenwich St Apt 16ANew York, NY 10006",New York,New York County,New York,Manhattan,77,"77 Greenwich St #16a, New York, NY 10006, USA",40.7074175,-74.0135328
Brokered by Corcoran Brooklyn Heights,Co-op for sale,440000,2,1,2184.207862,1405 Prospect Pl Apt B11,"Brooklyn, NY 11213","1405 Prospect Pl Apt B11Brooklyn, NY 11213",New York,Kings County,Brooklyn,Crown Heights,1405,"1405 Prospect Pl b11, Brooklyn, NY 11213, USA",40.6733835,-73.9300041
Brokered by All Island Estates Realty Corp,Land for sale,650000,3,2.3738608579684373,2184.207862,191-43 Foothill Ave,"Hollis, NY 11423","191-43 Foothill AveHollis, NY 11423",United States,New York,Queens County,Queens,Foothill Avenue,"191-43 Foothill Ave, Hollis, NY 11423, USA",40.7175476,-73.7702388
Brokered by Highline Residential,House for sale,600000,2,2,2184.207862,571 Watkins St Unit 1,"Brooklyn, NY 11212","571 Watkins St Unit 1Brooklyn, NY 11212",New York,Kings County,Brooklyn,Brownsville,571,"571 Watkins St #1, Brooklyn, NY 11212, USA",40.6585229,-73.9047396
Brokered by Corcoran West Side,Multi-family home for sale,1895000,5,4,2184.207862,595 Van Buren St,"Brooklyn, NY 11221","595 Van Buren StBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Van Buren Street,"595 Van Buren St, Brooklyn, NY 11221, USA",40.6925254,-73.9260278
Brokered by Charles Rutenberg Realty Inc,Co-op for sale,160000,3,1,2184.207862,99-35 59 Ave Unit 5L,"Corona, NY 11368","99-35 59 Ave Unit 5LCorona, NY 11368",New York,Queens County,Queens,Corona,99-35,"99-35 59th Ave #5l, Corona, NY 11368, USA",40.7376451,-73.8581248
Brokered by BHHS Fillmore R.E.,Multi-family home for sale,3500000,30,20,18400,1319 Newkirk Ave,"Brooklyn, NY 11230","1319 Newkirk AveBrooklyn, NY 11230",United States,New York,Kings County,Brooklyn,Newkirk Avenue,"1319 Newkirk Ave, Brooklyn, NY 11230, USA",40.6351799,-73.9646138
Brokered by RE MAX Distinguished Homes & Properties,House for sale,599900,3,2,1534,1618 Adee Ave,"Bronx, NY 10469","1618 Adee AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,Adee Avenue,"1618 Adee Ave, Bronx, NY 10469, USA",40.8697604,-73.8408611
Brokered by Ny Management,Multi-family home for sale,2499000,7,4,2184.207862,1159 52nd St,"Brooklyn, NY 11219","1159 52nd StBrooklyn, NY 11219",United States,New York,Kings County,Brooklyn,52nd Street,"1159 52nd St, Brooklyn, NY 11219, USA",40.6352404,-73.9966562
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,1850000,7,3,2240,1517 66th St,"Brooklyn, NY 11219","1517 66th StBrooklyn, NY 11219",United States,New York,Kings County,Brooklyn,66th Street,"1517 66th St, Brooklyn, NY 11219, USA",40.6225358,-73.9970748
NoBroker,Condo for sale,888000,3,2,1700,956 79th St Unit 1B,"Brooklyn, NY 11228","956 79th St Unit 1BBrooklyn, NY 11228",New York,Kings County,Brooklyn,Dyker Heights,956,"956 79th St #1b, Brooklyn, NY 11228, USA",40.6226046,-74.0176964
Brokered by Wallace Enrique,Multi-family home for sale,500000,3,2.3738608579684373,2184.207862,438 E 141st St,"Bronx, NY 10454","438 E 141st StBronx, NY 10454",United States,New York,Bronx County,The Bronx,East 141st Street,"438 E 141st St, Bronx, NY 10454, USA",40.810301,-73.9202983
Brokered by COMPASS,Condo for sale,1995000,1,2,910,29 W 85th St Unit 1,"Manhattan, NY 10024","29 W 85th St Unit 1Manhattan, NY 10024",New York,New York County,New York,Manhattan,29,"29 W 85th St # 1, New York, NY 10024, USA",40.7852077,-73.9706676
Brokered by RE/MAX Elite,Contingent,495000,2,3,1200,6218 Amboy Rd,"Staten Island, NY 10309","6218 Amboy RdStaten Island, NY 10309",United States,New York,Richmond County,Staten Island,Amboy Road,"6218 Amboy Rd, Staten Island, NY 10309, USA",40.5240094,-74.2133774
Brokered by Keller Williams Realty NYC Grp,House for sale,599000,3,2,1690,1466 Stickney Pl,"Bronx, NY 10469","1466 Stickney PlBronx, NY 10469",United States,New York,Bronx County,The Bronx,Stickney Place,"1466 Stickney Pl, Bronx, NY 10469, USA",40.88047,-73.8503054
Brokered by EXP Realty,Co-op for sale,178000,3,1,719,61-20 Grand Central Pkwy Unit B1210,"Forest Hills, NY 11375","61-20 Grand Central Pkwy Unit B1210Forest Hills, NY 11375",United States,New York,Queens County,Queens,Grand Central Parkway,"61-20 Grand Central Pkwy, Forest Hills, NY 11375, USA",40.7379227,-73.8470718
Brokered by Re/Max In The City,Co-op for sale,279900,1,1,850,679 W 239th Ave Unit 3K,"Bronx, NY 10463","679 W 239th Ave Unit 3KBronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,679,"679 W 239th St #3c, Bronx, NY 10463, USA",40.8901764,-73.9146261
Brokered by Corcoran East Side,House for sale,9000000,3,2.3738608579684373,2184.207862,8710 5th Ave,"Brooklyn, NY 11209","8710 5th AveBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,5th Avenue,"8710 5th Ave, Brooklyn, NY 11209, USA",40.6207751,-74.0273954
